lr,hidden_sizes,dropout_rate,optimizer,scheduler,weight_decay,batch_size,best_val_loss,best_epoch
0.0001,"[64, 32]",0.2,Adam,,0.001,32,7792.750485573956,13
0.0001,"[64, 32]",0.2,Adam,,0.001,64,7632.013158911922,23
0.0001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,32,7712.6570600342675,14
0.0001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,64,7577.175292099254,40
0.0001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,32,7679.374685420324,18
0.0001,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,64,7621.944540901405,26
0.0001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7700.422692978299,18
0.0001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7592.482819412493,26
0.0001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,32,7680.320021752417,14
0.0001,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,64,7625.152031106928,27
0.0001,"[64, 32]",0.2,AdamW,,0.0001,32,7720.136319058529,16
0.0001,"[64, 32]",0.2,AdamW,,0.0001,64,7606.306370942932,29
0.0001,"[64, 32]",0.2,AdamW,,0.001,32,7735.659589239845,15
0.0001,"[64, 32]",0.2,AdamW,,0.001,64,7592.624268635353,31
0.0001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7707.377022012792,14
0.0001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7642.040688595723,20
0.0001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,32,7712.034559518894,21
0.0001,"[64, 32]",0.2,AdamW,CosineAnnealingLR,0.001,64,7608.823797696595,28
0.0001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7701.185359320775,17
0.0001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7660.855859904602,21
0.0001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7674.950631226381,22
0.0001,"[64, 32]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7638.867773243839,22
0.0001,"[64, 32]",0.3,Adam,,0.0001,32,7827.994453287833,13
0.0001,"[64, 32]",0.3,Adam,,0.0001,64,7653.877262250566,32
0.0001,"[64, 32]",0.3,Adam,,0.001,32,7723.528620545493,17
0.0001,"[64, 32]",0.3,Adam,,0.001,64,7669.689019977696,25
0.0001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,32,7853.649628314202,10
0.0001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.0001,64,7658.821088999391,28
0.0001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,32,7768.712519310714,15
0.0001,"[64, 32]",0.3,Adam,CosineAnnealingLR,0.001,64,7637.8956682345,41
0.0001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,32,7747.739725462983,17
0.0001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7649.055240202994,34
0.0001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,32,7748.619437557861,15
0.0001,"[64, 32]",0.3,Adam,ReduceLROnPlateau,0.001,64,7679.410850127516,22
0.0001,"[64, 32]",0.3,AdamW,,0.0001,32,7790.575112670864,15
0.0001,"[64, 32]",0.3,AdamW,,0.0001,64,7656.586710284271,25
0.0001,"[64, 32]",0.3,AdamW,,0.001,32,7845.483668396226,12
0.0001,"[64, 32]",0.3,AdamW,,0.001,64,7643.619313911587,37
0.0001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7766.578731018903,17
0.0001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7695.651688782427,23
0.0001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,32,7780.56154768458,16
0.0001,"[64, 32]",0.3,AdamW,CosineAnnealingLR,0.001,64,7671.535421703156,34
0.0001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7774.354211360075,17
0.0001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7630.843821239383,38
0.0001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7743.057181016722,21
0.0001,"[64, 32]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7662.065362973449,20
